工	aaaa
误	ykgd
衰	ykge
衷	ykhe
谴	ykhp
襄	ykke
谔	ykkn
瓤	ykky
识	ykwy
谓	yleg
禀	ylki
颤	ylkm
谡	ylwt
调	ymfk
市	ymhj
敲	ymkc
高	ymkf
讷	ymwy
邙	ynbh
戾	yndi
肩	yned
肓	ynef
望	yneg
讯	ynfh
词	yngk
扉	ynhd
盲	ynhf
永	ynii
昶	ynij
扈	ynkc
启	ynkd
扁	ynma
扃	ynmk
翩	ynmn
遍	ynmp
氓	ynna
扇	ynnd
忘	ynnu
劾	ynte
肇	yntg
綮	ynti
刻	yntj
谧	yntl
颏	yntm
亥	yntw
戽	ynuf
妄	ynvf
谬	ynwe
诀	ynwy
雇	ynwy
房	ynye
弈	yoaj
孪	yobf
变	yocu
奕	yodu
蛮	yoju
峦	yomj
脔	yomw
恋	yonu
燮	yooc
谈	yooy
迹	yopi
谜	yopy
銮	yoqf
鸾	yoqg
挛	yorj
栾	yosu
娈	yovf
弯	yoxb
毫	ypeb
谊	ypeg
豪	ypge
膏	ypke
诨	yplh
亭	ypsj
亳	ypta
诧	ypta
亮	ypwb
诋	yqay
诡	yqdb
谵	yqdy
谄	yqeg
询	yqjg
谗	yqku
诳	yqtg
诌	yqvg
诤	yqvh
离	yrbc
诟	yrgk
亵	yrve
诉	yryy
谭	ysjh
诃	yskg
谏	yslg
施	ytbn
诱	ytbt
话	ytdg
旖	ytdk
旗	ytdw
膂	ytee
旄	yten
旅	ytey
许	ytfh
诰	ytfk
诜	ytfq
诛	ytfy
旆	ytgh
诈	ythf
诞	ythp
谢	ytmf
旃	ytmy
旋	ytnh
讫	ytnn
旎	ytnx
族	yttd
旌	yttg
诿	ytvg
诲	ytxy
州	ytyh
旒	ytyk
谫	yuev
谙	yujg
说	yukq
商	yumk
谱	yuoj
帝	yuph
啻	yupk
旁	yupy
谘	yuqk
斓	yusl
谰	yusl
谚	yute
谦	yuvw
谥	yuwl
郎	yvbh
朗	yveg
诏	yvkg
讼	ywcy
设	ywcy
颃	ywdm
诊	ywet
诠	ywgg
谕	ywgj
褒	ywke
讽	ywry
夜	ywty
於	ywuy
卒	ywwf
谶	ywwg
讹	ywxn
论	ywxn
谁	ywyg
谂	ywyn
谯	ywyo
率	yxif
紊	yxiu
诣	yxjg
畜	yxlf
壅	yxtf
饔	yxtv
雍	yxty
谐	yxxr
谆	yybg
方	yygt
文	yygy
谅	yyiy
丶	yyll
谝	yyna
该	yynw
议	yyry
谪	yyud
谛	yyuh
谤	yyuy
谇	yywf
言	yyyy
